0.65,1,40.6364,40.6364,0
0.65,2,41.6446,41.1405,0.504117
0.65,3,47.2434,43.1748,2.05503
0.65,4,42.6,43.0311,1.46021
0.65,5,40.048,42.4345,1.27879
0.65,6,38.4637,41.7727,1.23619
0.65,7,35.7523,40.9126,1.35324
0.65,8,40.1302,40.8148,1.17601
0.65,9,43.2031,41.0802,1.07056
0.65,10,41.3829,41.1104,0.958013
0.65,11,45.4724,41.507,0.952975
0.65,12,43.6618,41.6866,0.888283
0.65,13,39.3101,41.5038,0.837301
0.65,14,42.5413,41.5779,0.778724
0.65,15,37.2043,41.2863,0.78139
0.65,16,41.086,41.2738,0.731031
0.65,17,37.9541,41.0785,0.71391
0.65,18,44.1747,41.2505,0.694714
0.65,19,42.6432,41.3238,0.661209
0.65,20,42.8791,41.4016,0.632079
0.65,1,41.1456,41.1456,0
0.65,2,43.8258,42.4857,1.34011
0.65,3,44.4007,43.124,1.00306
0.65,4,42.4273,42.9499,0.730345
0.65,5,41.6656,42.693,0.621303
0.65,6,39.9829,42.2413,0.679238
0.65,7,39.2441,41.8131,0.716159
0.65,8,38.3389,41.3788,0.757141
0.65,9,41.0665,41.3441,0.668637
0.65,10,37.6574,40.9755,0.702551
0.65,11,37.199,40.6322,0.722291
0.65,12,39.344,40.5248,0.66804
0.65,13,43.2569,40.735,0.649451
0.65,14,45.4806,41.0739,0.690241
0.65,15,48.155,41.546,0.797344
0.65,16,43.411,41.6626,0.7549
0.65,17,40.6488,41.6029,0.711609
0.65,18,46.6229,41.8818,0.726566
0.65,19,44.7924,42.035,0.704128
0.65,20,40.4558,41.956,0.672645
